receipt_id,old_created_at,new_created_at,action
24080001,2024-08-18,2024-08-17,updated
24080003,2024-08-18,2024-08-17,updated
24080005,2024-08-18,2024-08-17,updated
24080007,2024-08-19,2024-08-18,updated
24080008,2024-08-18,2024-08-17,updated
24080009,2024-08-19,2024-08-18,updated
24080010,2024-08-19,2024-08-18,updated
24080011,2024-08-19,2024-08-18,updated
24080012,2024-08-19,2024-08-18,updated
24080013,2024-08-19,2024-08-18,updated
24080014,2024-08-19,2024-08-18,updated
24080017,2024-08-18,2024-08-17,updated
24080027,2024-08-19,2024-08-18,updated
24080029,2024-08-19,2024-08-18,updated
24080031,2024-08-19,2024-08-18,updated
24080036,2024-08-19,2024-08-18,updated
24080046,2024-08-20,2024-08-19,updated
24080047,2024-08-20,2024-08-19,updated
24080048,2024-08-20,2024-08-19,updated
24080049,2024-08-20,2024-08-19,updated
24080050,2024-08-20,2024-08-19,updated
24080051,2024-08-20,2024-08-19,updated
24080052,2024-08-20,2024-08-19,updated
24080053,2024-08-20,2024-08-19,updated
24080054,2024-08-20,2024-08-19,updated
24080057,2024-08-20,2024-08-19,updated
24080075,2024-08-20,2024-08-19,updated
24080076,2024-08-21,2024-08-20,updated
24080077,2024-08-21,2024-08-20,updated
24080078,2024-08-21,2024-08-20,updated
24080079,2024-08-21,2024-08-20,updated
24080080,2024-08-21,2024-08-20,updated
24080082,2024-08-21,2024-08-20,updated
24080083,2024-08-21,2024-08-20,updated
24080084,2024-08-21,2024-08-20,updated
24080085,2024-08-21,2024-08-20,updated
24080087,2024-08-20,2024-08-19,updated
24080088,2024-08-20,2024-08-19,updated
24080089,2024-08-20,2024-08-19,updated
24080090,2024-08-20,2024-08-19,updated
24080091,2024-08-20,2024-08-19,updated
24080097,2024-08-21,2024-08-20,updated
24080104,2024-08-21,2024-08-20,updated
24080105,2024-08-21,2024-08-20,updated
24080121,2024-08-22,2024-08-21,updated
24080122,2024-08-22,2024-08-21,updated
24080123,2024-08-22,2024-08-21,updated
24080124,2024-08-22,2024-08-21,updated
24080125,2024-08-22,2024-08-21,updated
24080126,2024-08-22,2024-08-21,updated
24080127,2024-08-22,2024-08-21,updated
24080128,2024-08-22,2024-08-21,updated
24080129,2024-08-22,2024-08-21,updated
24080130,2024-08-22,2024-08-21,updated
24080131,2024-08-22,2024-08-21,updated
24080132,2024-08-22,2024-08-21,updated
24080133,2024-08-21,2024-08-20,updated
24080134,2024-08-21,2024-08-20,updated
24080135,2024-08-21,2024-08-20,updated
24080136,2024-08-21,2024-08-20,updated
24080137,2024-08-21,2024-08-20,updated
24080138,2024-08-21,2024-08-20,updated
24080146,2024-08-23,2024-08-22,updated
24080148,2024-08-23,2024-08-22,updated
24080150,2024-08-23,2024-08-22,updated
24080151,2024-08-23,2024-08-22,updated
24080154,2024-08-23,2024-08-22,updated
24080155,2024-08-23,2024-08-22,updated
24080156,2024-08-23,2024-08-22,updated
24080157,2024-08-23,2024-08-22,updated
24080158,2024-08-23,2024-08-22,updated
24080176,2024-08-23,2024-08-22,updated
24080182,2024-08-24,2024-08-23,updated
24080189,2024-08-24,2024-08-23,updated
24080192,2024-08-24,2024-08-23,updated
24080194,2024-08-24,2024-08-23,updated
24080195,2024-08-24,2024-08-23,updated
24080201,2024-08-25,2024-08-24,updated
24080202,2024-08-24,2024-08-23,updated
24080203,2024-08-25,2024-08-24,updated
24080204,2024-08-25,2024-08-24,updated
24080205,2024-08-25,2024-08-24,updated
24080208,2024-08-25,2024-08-24,updated
24080210,2024-08-25,2024-08-24,updated
24080211,2024-08-25,2024-08-24,updated
24080227,2024-08-25,2024-08-24,updated
24080230,2024-08-26,2024-08-25,updated
24080231,2024-08-26,2024-08-25,updated
24080232,2024-08-26,2024-08-25,updated
24080233,2024-08-26,2024-08-25,updated
24080234,2024-08-26,2024-08-25,updated
24080235,2024-08-26,2024-08-25,updated
24080236,2024-08-26,2024-08-25,updated
24080237,2024-08-26,2024-08-25,updated
24080239,2024-08-26,2024-08-25,updated
24080240,2024-08-26,2024-08-25,updated
24080250,2024-08-26,2024-08-25,updated
24080251,2024-08-26,2024-08-25,updated
24080252,2024-08-26,2024-08-25,updated
