receipt_id,action,detail
24080014,replace,"1 existing edit_history row(s)"
24080027,replace,"1 existing edit_history row(s)"
24080030,replace,"1 existing edit_history row(s)"
24080031,replace,"1 existing edit_history row(s)"
24080034,replace,"1 existing edit_history row(s)"
24080044,replace,"1 existing edit_history row(s)"
24080058,replace,"1 existing edit_history row(s)"
24080070,replace,"1 existing edit_history row(s)"
24080087,replace,"1 existing edit_history row(s)"
24080088,replace,"1 existing edit_history row(s)"
24080100,replace,"1 existing edit_history row(s)"
24080103,replace,"1 existing edit_history row(s)"
24080131,replace,"1 existing edit_history row(s)"
24080138,replace,"1 existing edit_history row(s)"
24080145,replace,"1 existing edit_history row(s)"
24080150,replace,"1 existing edit_history row(s)"
24080159,replace,"1 existing edit_history row(s)"
24080167,replace,"1 existing edit_history row(s)"
24080177,replace,"1 existing edit_history row(s)"
24080185,replace,"1 existing edit_history row(s)"
24080187,replace,"1 existing edit_history row(s)"
24080188,replace,"1 existing edit_history row(s)"
24080189,replace,"1 existing edit_history row(s)"
24080192,replace,"1 existing edit_history row(s)"
24080194,replace,"1 existing edit_history row(s)"
24080195,replace,"1 existing edit_history row(s)"
24080203,replace,"1 existing edit_history row(s)"
24080211,replace,"1 existing edit_history row(s)"
24080226,replace,"1 existing edit_history row(s)"
24080233,replace,"1 existing edit_history row(s)"
24080234,replace,"1 existing edit_history row(s)"
24080235,replace,"1 existing edit_history row(s)"
24080236,replace,"1 existing edit_history row(s)"
24080237,replace,"1 existing edit_history row(s)"
24080239,replace,"1 existing edit_history row(s)"
24080240,replace,"1 existing edit_history row(s)"
24080242,replace,"1 existing edit_history row(s)"
24080244,replace,"1 existing edit_history row(s)"
24080246,replace,"1 existing edit_history row(s)"
24080247,replace,"1 existing edit_history row(s)"
24080249,replace,"1 existing edit_history row(s)"
24080250,replace,"1 existing edit_history row(s)"
24080251,replace,"1 existing edit_history row(s)"
24080252,replace,"1 existing edit_history row(s)"
24080253,replace,"1 existing edit_history row(s)"
24080254,replace,"1 existing edit_history row(s)"
24080256,replace,"1 existing edit_history row(s)"
24080257,replace,"1 existing edit_history row(s)"
24080261,replace,"1 existing edit_history row(s)"
24080268,replace,"1 existing edit_history row(s)"
24080270,replace,"1 existing edit_history row(s)"
24080272,replace,"1 existing edit_history row(s)"
24080274,replace,"1 existing edit_history row(s)"
24080276,replace,"1 existing edit_history row(s)"
24080277,replace,"1 existing edit_history row(s)"
24080278,replace,"1 existing edit_history row(s)"
24080280,replace,"1 existing edit_history row(s)"
24080281,replace,"1 existing edit_history row(s)"
24080284,replace,"1 existing edit_history row(s)"
24080286,replace,"1 existing edit_history row(s)"
24080290,replace,"1 existing edit_history row(s)"
24080291,replace,"1 existing edit_history row(s)"
24080292,replace,"1 existing edit_history row(s)"
24080301,replace,"1 existing edit_history row(s)"
24080302,replace,"1 existing edit_history row(s)"
24080303,replace,"1 existing edit_history row(s)"
24080304,replace,"1 existing edit_history row(s)"
24080306,replace,"1 existing edit_history row(s)"
24080308,replace,"1 existing edit_history row(s)"
24080310,replace,"1 existing edit_history row(s)"
24080313,replace,"1 existing edit_history row(s)"
24080317,replace,"1 existing edit_history row(s)"
24080319,replace,"1 existing edit_history row(s)"
24080321,replace,"1 existing edit_history row(s)"
24080322,replace,"1 existing edit_history row(s)"
24080323,replace,"1 existing edit_history row(s)"
24080324,replace,"1 existing edit_history row(s)"
24080327,replace,"1 existing edit_history row(s)"
24080328,replace,"1 existing edit_history row(s)"
24080329,replace,"1 existing edit_history row(s)"
24080330,replace,"1 existing edit_history row(s)"
24080331,replace,"1 existing edit_history row(s)"
24080332,replace,"1 existing edit_history row(s)"
24080333,replace,"1 existing edit_history row(s)"
24080334,replace,"1 existing edit_history row(s)"
24080336,replace,"1 existing edit_history row(s)"
24080341,replace,"1 existing edit_history row(s)"
24080342,replace,"1 existing edit_history row(s)"
24080344,replace,"1 existing edit_history row(s)"
24080348,replace,"1 existing edit_history row(s)"
24080352,replace,"1 existing edit_history row(s)"
24080353,replace,"1 existing edit_history row(s)"
24080354,replace,"1 existing edit_history row(s)"
24080355,replace,"1 existing edit_history row(s)"
24080356,replace,"1 existing edit_history row(s)"
24080358,replace,"1 existing edit_history row(s)"
24080360,replace,"1 existing edit_history row(s)"
24080362,replace,"1 existing edit_history row(s)"
24080364,replace,"1 existing edit_history row(s)"
24080365,replace,"1 existing edit_history row(s)"
24080369,replace,"1 existing edit_history row(s)"
24080371,replace,"1 existing edit_history row(s)"
24080379,replace,"1 existing edit_history row(s)"
24080384,replace,"1 existing edit_history row(s)"
24080391,replace,"1 existing edit_history row(s)"
24080395,replace,"1 existing edit_history row(s)"
24080396,replace,"1 existing edit_history row(s)"
24080397,replace,"1 existing edit_history row(s)"
24080398,replace,"1 existing edit_history row(s)"
24080399,replace,"1 existing edit_history row(s)"
24080400,replace,"1 existing edit_history row(s)"
24080401,replace,"1 existing edit_history row(s)"
24080407,replace,"1 existing edit_history row(s)"
24080408,replace,"1 existing edit_history row(s)"
24080409,replace,"1 existing edit_history row(s)"
24080410,replace,"1 existing edit_history row(s)"
24080411,replace,"1 existing edit_history row(s)"
24080413,replace,"1 existing edit_history row(s)"
24080414,replace,"1 existing edit_history row(s)"
24080415,replace,"1 existing edit_history row(s)"
24080416,replace,"1 existing edit_history row(s)"
24080417,replace,"1 existing edit_history row(s)"
24080418,replace,"1 existing edit_history row(s)"
24080419,replace,"1 existing edit_history row(s)"
24080420,replace,"1 existing edit_history row(s)"
24080421,replace,"1 existing edit_history row(s)"
24080422,replace,"1 existing edit_history row(s)"
24080424,replace,"1 existing edit_history row(s)"
24080427,replace,"1 existing edit_history row(s)"
24080429,replace,"1 existing edit_history row(s)"
24080430,replace,"1 existing edit_history row(s)"
24080432,replace,"1 existing edit_history row(s)"
24080439,replace,"1 existing edit_history row(s)"
24080440,replace,"1 existing edit_history row(s)"
24080441,replace,"1 existing edit_history row(s)"
24080442,replace,"1 existing edit_history row(s)"
24080443,replace,"1 existing edit_history row(s)"
24080444,replace,"1 existing edit_history row(s)"
24080446,replace,"1 existing edit_history row(s)"
24080447,replace,"1 existing edit_history row(s)"
24080449,replace,"1 existing edit_history row(s)"
24080456,replace,"1 existing edit_history row(s)"
24080458,replace,"1 existing edit_history row(s)"
24080460,replace,"1 existing edit_history row(s)"
24080467,replace,"1 existing edit_history row(s)"
24080474,replace,"1 existing edit_history row(s)"
24080475,replace,"1 existing edit_history row(s)"
24080476,replace,"1 existing edit_history row(s)"
24080477,replace,"1 existing edit_history row(s)"
24080479,replace,"1 existing edit_history row(s)"
24080480,replace,"1 existing edit_history row(s)"
24080481,replace,"1 existing edit_history row(s)"
24080483,replace,"1 existing edit_history row(s)"
24080484,replace,"1 existing edit_history row(s)"
24090001,replace,"1 existing edit_history row(s)"
24090005,replace,"1 existing edit_history row(s)"
24090011,replace,"1 existing edit_history row(s)"
24090016,replace,"1 existing edit_history row(s)"
24090018,replace,"1 existing edit_history row(s)"
24090020,replace,"1 existing edit_history row(s)"
24090021,replace,"1 existing edit_history row(s)"
24090024,replace,"1 existing edit_history row(s)"
24090028,replace,"1 existing edit_history row(s)"
24090029,replace,"1 existing edit_history row(s)"
24090031,replace,"1 existing edit_history row(s)"
24090035,replace,"1 existing edit_history row(s)"
24090037,replace,"1 existing edit_history row(s)"
24090039,replace,"1 existing edit_history row(s)"
24090040,replace,"1 existing edit_history row(s)"
24090041,replace,"1 existing edit_history row(s)"
24090044,replace,"1 existing edit_history row(s)"
24090045,replace,"1 existing edit_history row(s)"
24090058,replace,"1 existing edit_history row(s)"
24090059,replace,"1 existing edit_history row(s)"
24090060,replace,"1 existing edit_history row(s)"
24090064,replace,"1 existing edit_history row(s)"
24090068,replace,"1 existing edit_history row(s)"
24090069,replace,"1 existing edit_history row(s)"
24090074,replace,"1 existing edit_history row(s)"
24090075,replace,"1 existing edit_history row(s)"
24090076,replace,"1 existing edit_history row(s)"
24090078,replace,"1 existing edit_history row(s)"
24090084,replace,"1 existing edit_history row(s)"
24090087,replace,"1 existing edit_history row(s)"
24090090,replace,"1 existing edit_history row(s)"
24090094,replace,"1 existing edit_history row(s)"
24090098,replace,"1 existing edit_history row(s)"
